Navajo Sentence,Detected Language,Confidence,Translation to English,Back Translation
Áadi éí tó ńlį́į́h dóó beʼekʼid biyiʼ dahiná.,ln,0.5830034017562866,Áadi is the son of Be&#39;ek&#39;id biyi&#39; dahina.,Áadi azali mwana ya Be&#39;ek&#39;id biyi&#39; dahina.
"Aadi Hwéeldidi éí kéyah 40 dikʼą́ʼ tsin sitʼą́ʼ aniiłtsohgo (104 km²) kéyah bikáaʼgi dahoghan, aadi ~8–~9di mííl Naabeehó kéyah yiikáá daʼbighan.",aa,0.3570525050163269,"About 40 days (104 km2) were covered, about 8–~9 thousand Naabeehó were covered.",ayroh addat (104 km2) fanah 8–~9 alfih Naabeehó fanah gexak sugte.
Áádóó 120 adeisʼééz ąnzaagoʼyáʼ adahiilį́ (37 m).,hu,0.42085933685302734,Áádóó 120 adeisʼééz ąnzaagoʼyáʼ adahiilį́ (37 m).,Áádóó 120 adeisʼééz ąnzaagoʼyáʼ adahiilį́ (37 m).
Áádóó 1.6% éí nahasdzáán biyíʼdiʼ hólǫ́ (tsé biyíʼdę́ę́ tó halį́į́hígíí).,ln,0.9862463474273682,"About 1.6% of the population is not biyíʼdiʼ hólǫ́ (that is, biyíʼdę́ę́ or halį́į́hígíí).","Pene na 1,6% ya bato bazali biyíʼdiʼ hólǫ́ (elingi koloba biyíʼdę́ę́ to halį́į́hígíí) te."
"Áádóó 1868 biyihah yę́ędą́ą́ʼ éí naaltsoos bikáaʼgi ałgáá naadeitʼááh díí éí Nóódaʼí kéyah baʼhadzo Dibé Ntsaa Hahoodzojiʼ, díí kéyah hadzoʼígíí éí nitságo baʼhadzo nitʼę́ę́h (Diishjį́di Dibé Ntsaa Hahoodzoígíí 1/3go Nóódaʼí baʼdéítʼą́ą́h nitʼę́ę́h).",ln,0.5675424933433533,"In 1868, he was born in Naaltsoos, where he was known as Dibé Ntsaa Hahoodzoji&#39; (Diishj The Dibé Ntsaa Hahoodzoígíí 1/3go Nóóda&#39;í baʼdéítʼą́ą́h nitʼę́ę́h).","Na 1868, abotamaki na Naaltsoos, epai ayebanaki na nkombo Dibé Ntsaa Hahoodzoji’ (Diishj Ba Dibé Ntsaa Hahoodzoígíí 1/3go Nóóda’í baʼdéítʼą́ą́h nitʼę́ę́h)."
"Áádóó 1901 biyihah doo kwiishdę́ę́ díí kįtsiil naaznilígíí nidaalkáágo bitsą́ą́doo beeʼdéítʼą́, díí éí Moiskogii dineʼé bizási adaʼyiilá hadoonį́į́hdiʼ.",ln,0.5215299725532532,"In 1901, when the country&#39;s first few naznilkágo bitsą́ą́doo bee&#39;déít&#39;ą́, the Moiskogii dine&#39;é bizási ada&#39;yiilá hadoonį́į́hdiʼ.","Na 1901, ntango mwa bitsą́ą́doo ya liboso ya mboka yango ezalaki’déít’ą́, bato ya Moiskogii dine’é bizási ada’yiilá hadoonį́į́hdiʼ."
"Áádóó 1936 biyihah yę́ędą́ą́ʼ Bureau of Indian Affairs (BIA) 1882 Executive order kéyah hadzoʼ yę́ę́h ałtsá déídzoʼ, 18 land managementgo aalyá.",wo,0.5200132131576538,In 1936 he was established by the Bureau of Indian Affairs (BIA).,Ci 1936 la Biro bu yor mbiri Inde (BIA) taxawal ko.
"Áádóó 1937 biyihahgo díí naakigo kéyah anideitʼąąhniígíí éí bízhiʼ łahgo oolyéego alʼááh, áádóó kéyahígíí ałdóʼ ałhiihíídzo.",ln,0.9262476563453674,"In 1937, the naakigo keyah anideitʼąhniígíí éí bízhiʼ łahgo oolyéego alʼááh, the year 1937 ałhiihíídzo.","Na 1937, naakigo keyah anideitʼąhniígíí éí bízhiʼ łahgo oolyéego alʼááh, mobu 1937 ałhiihíídzo."
"Áádóó 1956 biyihahgi éí kéyah 1,320 acres aniiłtsogo (5 km²) kéyah binaaneidzo.",wo,0.3528943657875061,"In 1956, 1,320 acres (5 km2) were planted.","Ci atum 1956, ñu jëmbat 1,320 ektaar (5 km2)."
"Áádóó 200 ánéelą́ąʼgo Naabeehó siláołtsooí yiʼkʼiʼjééhgo yaʼnidiikáí, áádóó siláołtsooí beeʼeldǫǫh déídeisdǫǫhgo 12 Naabeehó neezná áádóó 40go éí daasná.",ln,0.3564109802246094,"For 200 years Naabeehó siláołtsooí yiʼkʼiʼjééhgo ya&#39;nidiikáí, there are siláołtsooí beeʼeldǫǫh déídeisdǫǫhgo 12 For 40 years I have been daasná.","Pendant 200 ans Naabeehó siláołtsooí yiʼkʼiʼjééhgo ya&#39;nidiikáí, ezali na ba siláołtsooí beeʼeldǫǫh déídeisdǫǫhgo 12 Banda mbula 40 nazali daasná."
"Áádóó 27,700 kilometres (17,210 miles) per hour nahasdzáán yináádáł, áádóó 15.7 go nahosdzáán yinádah.",hu,0.38272911310195923,"Áádóó 27,700 kilometers (17,210 miles) per hour nahasdzáán yináádáł, áádóó 15.7 go nahosdzáán yináádah.","Áádóó 27 700 kilométer (17 210 mérföld) per óra nahasdzáán yináádáł, áádóó 15,7 go nahosdzáán yináádah."
"Áádóó 600 míiltsoh nahah naasdiʼ, ooljééʼ biangular diameterígíí doo jóhonaaʼéí ałtsó ninéídiiłį́į́hda doolééł, jóhonaaʼéíʼígíí tʼááłáʼ dooʼyiitʼį́ʼ doolééł.",wo,0.25755032896995544,"Áádóó 600 míiltsoh nahah naasdiʼ, oljééʼ angular diameter doo jóhonaaʼéʼ also ninéídiiłį́į́hda doolééł, jóhonaaʼéíʼígíí táłáyilál doo doo.","Áádóó 600 míiltsoh nahah naasdiʼ, oljééʼ diamètre angular doo jóhonaaʼéʼ also ninéídiiłį́į́hda doolééł, jóhonaaʼéíʼígíí táláyilál doo doo."
"Áádóó 7,000 nahai dookwiishdę́ę́ʼ éí tsin naaʼeeł tʼáá déíztsaaígíí beenaadeiʼtąąʼ áádóó éí nibáál tsin naaʼeeł bikáaʼgi daʼnaazbáálgo anaadaalyá.",tet,0.2214200794696808,"About 7,000 dookwiishdę́ę́ʼ cin naaʼeeł tʼáá déíztsaaígíí beennaaadeiʼtąąʼ nibáal cin naaʼeeł bikáaʼgi daʼnaazbáálgo anaadaalyá.","Besik 7,000 dookwiishdę́ę́ʼ cin naaʼeeł tʼáá déíztsaaígíí beennaaadeiʼtąąʼ nibáal cin naaʼeeł bikáaʼgi daʼnaazbáálgo anaadaalyá."
"Áádóó aadi daʼhééldon, áádóó bee aldǫǫh bikʼaʼ tsé bitsʼáh daʼhaaltááłígíí Dilzhíʼí ákwiiné nidaʼniitʼinígíí naaztséédiʼ.",wo,0.2199469655752182,"There was a lot of da&#39;hééldon, there was the aldǫǫh who gave us Dilzhí&#39;í ákwiin and the little ones nearby.","Da&#39;hééldon bi bariwoon na, aldǫǫh bi nu jox Dilzhí&#39;í ákwiin ak yu ndaw yi ci wetam."
"Áádóó aadi naanish yikéé nidaʼkai, naaná łaʼ éí oltá yiikéé nidaʼkai).",zap,0.3914528787136078,"(There is nothing wrong with that, but it is not right).","(Gastiʼ naca ni, peru cadi jneza diʼ ni)."
Áádóó aadjį́ Naakáí dinéʼiʼ biempire beeʼnaʼholzhiizh.,gl,0.988347053527832,Áádóó aadjį́ Naakáí dineʼiʼ biempire beeʼnaʼholzhiizh.,Áádóó aadjį́ Naakáí dineʼiʼ biempire beeʼnaʼholzhiizh.
"Áádóó ąąh hááʼá ałdóʼ beeʼnidoolyééł, naasdiʼ baʼnáhotʼááʼgo.",ln,0.21281103789806366,"ąąh háá&#39;á ałdó&#39; bee&#39;nidoolyééł, naasdi&#39; ba&#39;náhot&#39;áá&#39;go.","ąąh háá&#39;á ałdó&#39; nzoi&#39;nidoolyééł, naasdi&#39; ba&#39;náhot&#39;áá&#39;go."
"Áádóó akwiishííh yiiltʼéʼgo mineral hadeigéédigo binidaanishgo nahónaadi, áádóó naas hodeishjiizhgo daʼnaadiiná díí éí adahiilį́ʼ Mooney Fallsjigo.",se,0.20842565596103668,"There is a lot of mineral deposits in the mine, and there is a lot of water in the Mooney Fallsjigo.","Ruvkkes lea olu minerálagávdnosat, ja Mooney Fallsjigos lea olu čáhci."
Áádóó áłchíní éí tʼáá hooghangi adooléʼéʼ beeʼnantingo adooléʼéʼ yooʼhoołʼááh daʼnį́ʼgo; dooda daʼdinį́di.,is,0.21577836573123932,Áádóó áłchíní éí tʼáá hooghangi adooléʼéʼ beeʼnantingo adouléʼéʼ yooʼhoołʼááh daʼnį́ʼgo; dooda daʼdinī́di.,Áádóó áłchíní éí tʼáá hooghangi adooléʼéʼ beeʼnantingo adouléʼéʼ yooʼhoołʼááh daʼnį́ʼgo; dooda daʼdinī́di.
Áádóó ałchíní yázhí da éiyá éí níléí bikágíyígíí jó éí tʼóó ayóo dootłʼizh nahalin silį́įʼoo dabizábąǫ́ da dadootłʼizho.,ln,0.8979300260543823,Áádóó ałchíní yazhí da éyá éí níléí bikágíyígíí jó éí t&#39;óó aóo dootł&#39;izh nahalin silį́įʼoo dabizábąǫ́ da dadootłʼizho.,Áádóó ałchíní yazhí da éyá éí níléí bikágíyígíí jó éí t&#39;óó aóo dootł&#39;izh nahalin silį́įʼoo dabizábąǫ́ da dadootłʼizho.
Áádóó ałdóʼ bee hazʼáanii yee nihodooʼáałígíí doo biláahgo yee há niʼhodooʼááł da.,yua,0.6396521925926208,Áádóó ałdóʼ with hazʼáanii and nihodooʼałígíí where we cannot live.,Áádóó ałdóʼ yéetel hazʼáanii yéetel nihodooʼałígíí tu&#39;ux ma&#39; tu páajtal k kajtal.
Áádóó áłdoʼ kéyah tʼaasiʼą́ą́ ndę́ę́ beheehazáanii biłiisihgo éí doo choiiʼ dooʼį́į́łda.,ln,0.45386791229248047,Aádó áłdo&#39; keyyah t&#39;aasiʼą́ą́ ndę́ę́ beheehazáanii biłiisihgo éí doo choiiʼ dooʼį́į́łda.,Aádó áłdo&#39; keyyah t&#39;aasiʼą́ą́ ndę́ę́ beheehazáanii biłiiisihgo éí doo choiiʼ dooʼį́į́łda.
"Áádóó Amééwikadę́ę́go ałdóʼłá ałnánátʼáʼ: ""Orbiter"" wolyé.",ln,0.9132943749427795,The American Orbiter is called &quot;Orbiter&quot;,Orbiteur ya Amerika babengaka yango &quot;Orbiter&quot;.
Áádóó atsʼiis doo akwéʼéʼgo bílaʼashdlaʼii naagáá łeeh.,wo,0.19619950652122498,Áádóó atsʼiis do not know how to read.,Áádóó atsʼiis xamuñu jàng.
Áádóó Biinis bikáaʼgi éí káábin cycle beeʼadéín áádóó éí hólǫ́ǫgo éí káábin yootʼą́ʼ łééh (Tsin adazʼááhígíí akwii tʼį́į́h łeeh éí doodaiiʼ éí tsé biyiiʼ góneʼ káábin yootʼą́ʼ łeeh).,is,0.6426695585250854,Áádóó Biinis bikáaʼgi éí káábin cycle beeʼadéín áádóó éí hólǫ́ǫgo éí káábin yootʼą́ʼ łééh (Tsin adazʼááhígíí akwii tʼį́į́h łeeh éí doodaiiʼ éí tsé biyiiʼ goneʼ kábin yootʼą́ʼ łeeh).,Áádóó Biinis bikáaʼgi éí káábin cycle beeʼadéín áádóó éí hólǫ́ǫgo éí káábin yootʼą́ʼ łééh (Tsin adazʼááhígíí akwii tʼį́į́į́ne éíá doodei’i yootʼą́ʼ łeeh).
Áádóó Bitsį́ʼ yishtłizhii bizází éí Péléstaindę́ę́ʼ naakai ání.,ln,0.9776825904846191,The Bitsį́ę&#39;s yishtłizhii bizází was not in Palestine.,Yishtłizhii bizází ya ba Bitsį́ę ezalaki na Palestine te.
"Áádóó biyázhí ayęęzhii yiihajáá dóó éí tseebíítsʼáadah nidiʼdzíʼjíʼ nitsá dáalééh, áádóó éí ákʼiʼnáhodiʼdáʼ yiilééh.",is,1,"Áádóó biyázhí ayęęzhii yiihajáá dóó éí číbííítsʼáadah nidiʼdzíʼjíʼ nitsá dáalééh, áádóó éí ákʼiʼnáhodiʼdáʼ yiilééh.","Áádóó biyázhí ayęęzhii yiihajáá dóó éí číbííítsʼáadah nidiʼdzíʼjíʼ nitsá dáalééh, áádóó éí ákʼiʼnáhodiʼdáʼ yiilééh."
"Áádóó Camp Verde Reservationgi kéyahígíí bilagáana baʼdeitʼąąʼ, áádóó Woozhchʼiid 1875 biyiiʼ Dilzhíʼí Dineʼé ałgáániʼ bidéélkáádiʼ áádóó éí San Carlosgo bidiʼnéélkáádiʼ.",is,0.4143359959125519,"Áádóó Camp Verde Reservationgi kéyahígíí bilagáana baʼdeitʼąąʼ, áádóó Woozhchʼiid 1875 biyiiʼ Dilzhíʼí Dineʼé ałgáániʼ bidéelkáádiʼ áádóó éí San Carlosgo bidiʼnéelkáádiʼ.","Áádóó Camp Verde Reservationgi kéyahígíí bilagáana baʼdeitʼąąʼ, áádóó Woozhchʼiid 1875 biyiiʼ Dilzhíʼí Dineʼé ałgáániʼ bidéelkáádiʼ áádóó éí San Carlosgo áádiʼelkádiʼel."
"Áádóó chʼáá nidaʼkáíigíí ałdóʼ aadi ałheʼnaakáí, hastą́ągo aadi ałheʼnaakáíʼ.",yo,0.09833038598299026,"Áádóó chʼáá nidaʼkáiigíi ałdóʼ adi ałheʼnaakáí, hastą́ągo adi ałheʼnaakáíʼ.","Áádóó chʼáá nidaʼkáiigíi ałdóʼ adi ałheʼnaakáí, hastąągo adi ałheʼnaakáíʼ."
"Áádóó chéeh dah nízhdiiłtʼeʼo da, jó áhótʼáo.",hu,0.9400269985198975,"Áádóó chéeh dah nízhdiiłtʼeʼo da, good áhótʼáo.","Áádóó chéeh dah nízhdiiłtʼeʼo da, jó áhótʼáo."
"Áádóó Chééwokii bikin Nikwasi, Estatoe, Tugaloo, Conasauga, dóó Kituwa ałdóʼ yiitáá naaskáí.",wo,0.28583741188049316,"They lived in Nikwasi, State, Tugaloo, Conasauga, and Kituwa.","Dëkk nañu ci Nikwasi, Etat, Tugaloo, Conasauga ak Kituwa."
"Áádóó crown biyáágiʼ éí ""Miss Navajo Nation"" bikáá, díí éí háíshį́į́ yéénaagááʼígíí Naabeehó bikéyah doo biambassador naʼhalingo baʼnitsáhakéés, niláhgoʼ bílaʼashdlaʼii yiitáhgoʼ naagáágoʼ.",ln,0.42016565799713135,"When she was crowned &quot;Miss Navajo Nation,&quot; she was named Naabeehó as an ambassador for the Navajo Nation.","Ntango bazwaki ye motole ya &quot;Miss Navajo Nation,&quot; bapesaki ye nkombo Naabeehó lokola ambassadeur ya Ekolo ya Navajo."
Áádóó daʼdéístłʼin yazhiʼ daʼniilį́į́hgo andaalyá tó daʼnaazyįįh biniiyéʼ.,wo,0.2682800590991974,The daʼdéístłʼin was born in the daʼnaazyįįh.,Da&#39;deístł&#39;in mingi juddoo ci da&#39;naazyįįh.
Áádóó daʼdziiʼígíí éí Camp Grantdi awáalya naʼhaaztʼááʼgo alyá.,is,0.7931959629058838,Áádóó daʼdziiʼígíí éí Camp Grantdi awáalya naʼhaaztʼááʼgo alyá.,Áádóó daʼdziiʼígíí éí Camp Grantdi awáalya naʼhaaztʼááʼgo alyá.
Áádóó díí atiin biniiná tʼaa yéigo basaad hólǫ́go hózą́ą́h haslį́į́h (Waalibéí Dineʼé tʼaadoo yéílą́ daʼ aslį́į́hdaʼ).,ln,0.289683073759079,They were not able to see the basaad hózą́ą́h haslį́į́h (Waalibéí Dineʼé t&#39;aadoo yeílą́ daʼ aslį́į́hdaʼ).,Bazalaki na likoki te ya komona basaad hózą́ą́h haslį́į́h (Waalibéí Dineʼé t’aadoo yeílą́ daʼ aslį́į́hdaʼ).
Áádóó díí éí tʼáá doo Naakaii dóó bilagáana nidaʼhanééh yę́ędą́ą́ʼ.,ln,0.7233126163482666,They are not the Naakaii of the bilagáana nida&#39;hanééh yę́ędą́ą́ʼ.,Bazali ba Naakaii ya bilagáana nida&#39;hanééh yę́ędą́ą́ʼ te.
"Áádóó dį́įʼgo ałʼąą hadahaasdzooígíí biwááshindoon éí Belfast (Náhookǫsjí Bitsiighaʼ Łichííʼí Bikéyah), Cardiff (Wales), áádóó Edinburgh (Ałnánoodǫ́ǫ́z Dineʼé Bikéyah).",ln,0.3989143669605255,"Some of these areas are located in Belfast (Nahookǫsjí Bitsiighaʼ Łichiíʼí Bikeyah), Cardiff (Wales), and Edinburgh (Ałnánoodǫ́ǫ́z Dineʼé Bikeyah).","Bitando mosusu kati na yango ezali na Belfast (Nahookǫsjí Bitsiighaʼ Łichiíʼí Bikeyah), Cardiff (Pays de Galles), mpe Edimbourg (Ałnánoodǫ́ǫ́z Dineʼé Bikeyah)."
"Áádóó díí Hastiin bizhí éí ""Black Legend""jí atah yiisdzoʼ (Black Legend éí Spanish Inquisitionjí akáá iijééʼiʼígíí oolyé).",is,0.3105370104312897,Áádóó díí Hastiin bizhí éí &quot;Black Legend&quot;jí atah yiisdzoʼ (Black Legend éí Spanish Inquisitionjí akáá iijééʼiʼígíí oolyé).,Áádóó díí Hastiin bizhí éí &quot;Black Legend&quot;jí atah yiisdzoʼ (Black Legend éí Spanish Inquisitionjí akáá iijééʼiʼígíí oolyé).
"Áádóó díí Hastiin Pedro Reneros de Posada wolyéígíí éí Naatʼáanii adiilá, Yootó Hahoodzoʼígíí.",yua,0.2091798037290573,"Hastiin Pedro Reneros of Posada was born in Naat&#39;ani, Hahoodzo&#39;i.","Hastiin Pedro Reneros u Posada síijil ti&#39; Naat&#39;ani, Hahoodzo&#39;i."
"Áádóó díí kéyah choodaʼyoołyį́į́hígíí éí tʼáá Naabeehó bikéyahgo yaʼnitsídaʼkéés, naaá Oozéí éí doo akwii tʼéigo yiinééłnį́į́hdaʼ.",fon,0.35151681303977966,"Áádóó díí kéyah choodaʼyoołyį́įhígíí éí tʼáá Naabeeho bikéyahgo yaʼnitsídaʼkéés, naaá Oozéí éí doo akwii tʼéigo yiinééłnį́į́hdaʼ.","Áádóó díí kéyah choodaʼyoołyį́įhígíí éí tʼáá Naabeeho bikéyahgo yaʼnitsídaʼkéés, naaá Oozéí éí doo akwii tʼéigo yiinééłnį́į́hdaʼ."
Áádóó díí kin daʼshijááʼígíí éí atiin iildleezh Route 66 bąąhgo.,is,0.8681941032409668,Áádóó díí kin daʼshijááʼígíí éí atiin iildleezh Route 66 bąąhgo.,Áádóó díí kin daʼshijááʼígíí éí atiin iildleezh Route 66 bąąhgo.
Áádóó díí naatʼaanii éí diné yitʼááh naagháágo dóó diné yiiłnaalnishgo binaanish iiłį́į́h (Dóó éí tʼáá biʼyaanitsééh kéésígíí bikʼéhgo hóʼááłdaʼ).,fon,0.25515273213386536,Áádóó díí naatʼaanii éí diné yitʼááh naagháágo dôó diné yiiłnaalnishgo binaanish iiłį́į́h (Dóó éí tʼáa biʼyaanitsééh kéésigíi bikʼéhgo óʼááldaʼ).,Áádóó díí naatʼaanii éí diné yitʼááh naagháágo dôó diné yiiłnaalnishgo binaanish iiłį́į́h (Dóó éí tʼáa biʼyaanitsééh kéésigíi bikʼéhgo óʼááldaʼ).
Áádóó díí naayééʼ tsídi naalkáágo asdąąʼ kʼadi tsídi holǫ́ígíí asdą́ą́ʼ yiił ałhééłtʼéígo bee naalkáá.,wo,0.3506843149662018,Let&#39;s talk about the entry asdąąą&#39; and the entry with the entry.,Nanu wax ci dugg bi asdąąą&#39; ak dugg bi ak dugg bi.
"Áádóó díí saadígíí éí ""dah adidloh"" óolyé.",is,0.9637928009033203,Áádóó díí saadígíí éí &quot;dah adidloh&quot; óolyé.,Áádóó díí saadígíí éí &quot;dah adidloh&quot; óolyé.
"Áádóó díí tsin naaʼeeł chidí naatʼaʼí bee nágéhéʼ éí too hónanigo áłnaadaʼooł, áádóó éí ałkʼiʼjiijááʼiʼdiʼ yiigáádiʼ niiʼoołgo, tʼáá toontéél bikáádiʼ tsin naaʼeeł siʼą́ą́hgo chidí naatʼaʼí bee nidaʼabaah.",wo,0.28202471137046814,"Where are you going closer to you, where are you going? shelter.","Fan nga gëna jege, fan nga jëm? laxas."
Áádóó dishjį́ʼgo éí Oozéí bilagáana bizaadjíʼ tʼéiyá yaʼdaałtiʼ adóółá éí tʼáá ałchʼiʼjí yééʼyaʼdałtiʼ.,is,1,Áádóó dishjĐ́ʼgo éí Oozéí bilagáana bizaadjíʼ tʼéiyá yaʼdaałtiʼ adóółá éí tʼáá ałchʼiʼjí yééʼyaʼdałtiʼ.,Áádóó dishjĐ́ʼgo éí Oozéí bilagáana bizaadjíʼ tʼéiyá yaʼdaałtiʼ adóółá éí tʼáá ałchʼiʼjí yééʼyaʼdałtiʼ.
Áádóó Diyin niyiiłhólǫ́ʼniʼígíí áádóó nihiih nę́ę́nį́į́ yidiitsáʼígíí ałdóʼ yaʼhaalnéʼ.,ln,0.43507274985313416,Today Diyin niyiiłhólǫ́ʼni&#39;ígíí Today nihiih nę́ę́nį́į́ yidiitsá&#39;ígíí ałdó&#39; ya&#39;haalnéʼ.,Lelo Diyin niyiiłhólǫ́ʼni&#39;ígíí Lelo nihiih nę́ę́nį́į́ yidiitsá&#39;ígíí ałdó&#39; ya&#39;haalnéʼ.
Áádóó doodazhdiilwóʼígíí éí bilagáana hatáá daʼałdǫǫn áádóó sanii doo hastóí daʼjilinígíí ałdóʼ nidaʼhódiistsééd (Akwiigo shį́į́ Diné baʼdaʼhanéʼ hólǫ́ǫgo átʼé).,ln,0.5050193667411804,Some doodazhdiilwó&#39;ígíí were bilagáana hatá da&#39;ałdǫǫn some sanii had da&#39;jilinígí and nida&#39;hódiistsééd (Akwiigo shį́į́ Diné ba&#39;da&#39;hané&#39; hólǫ́ǫgo át&#39;é).,Ba doodazhdiilwó’ígíí mosusu bazalaki bilagáana hatá da’ałdǫǫn ba sanii mosusu bazalaki na da’jilinígí mpe nida’hódiistsééd (Akwiigo shį́į́ Diné ba’da’hané’ hólǫ́ǫgo át’é).
; áádóó éí 25 185 mm ádaníłtso.,ln,0.5844718813896179,; the height is 25 185 mm.,; bosanda na yango ezali 25 185 mm.
; áádóó éí 286 ałʼąą ádaatʼé.,is,1,; áádóó éí 286 ałʼąą ádaatʼé.,; áádóó éí 286 ałʼąą ádaatʼé.
Áádóó éí aadi Dilzhíʼí Dineʼé daʼhóneisná (Bikʼiʼjiʼ niniʼkę́ę́z).,is,0.6644075512886047,Áádóó éí aadi Dilzhíʼí Dineʼé daʼhóneisná (Bikʼiʼjiʼ niniʼkếę́z).,Áádóó éí aadi Dilzhíʼí Dineʼé daʼhóneisná (Bikʼiʼjiʼ niniʼkếę́z).
Áádóó éí aghááł yiigháádgo tséʼígíí ałhidaʼdindahgo aghááł biyiidi kǫʼ néíltsééh.,is,1,Áádóó éí aghááł yiigháádgo tséʼígíí ałhidaʼdindahgo aghááł biyiidi kǫʼ néíltsééh.,Áádóó éí aghááł yiigháádgo tséʼígíí ałhidaʼdindahgo aghááł biyiidi kǫʼ néíltsééh.
Áádóó éí ahótʼį́į́hdiʼ doobikʼiʼjiʼ atiin daʼdeilkáál.,is,0.726413369178772,Áádóó éí ahótʼį́į́hdiʼ doobikʼiʼjiʼ atiin daʼdeilkáál.,Áádóó éí ahótʼį́į́hdiʼ doobikʼiʼjiʼ atiin daʼdeilkáál.
Áádóó éí ałahjiʼ éí 30 dah alzhinjiʼ (tsį́į́łgo yiikííłígíí) ałtso anaalʼį́į́h.,is,0.6838883757591248,Áádóó éí ałahjiʼ éí 30 dah alzhingiʼ (tsį́į́łgo yiikííłígíí) ałtso anaalʼį́į́h.,Áádóó éí ałahjiʼ éí 30 dah alzhingiʼ (tsį́į́łgo yiikííłígíí) ałtso anaalʼį́į́h.
"Áádóó éí ałtsá naaná dzo, díí éí tʼáá naaznil dabinighan naazniiligo.",is,0.47830730676651,"Áádóó éí ałtsá naaná dzo, díí éí tʼáá naaznil dabinighan naazniiligo.","Áádóó éí ałtsá naaná dzo, díí éí tʼáá naaznil dabinighan naazniiligo."
"Áádóó éí Annie D. Wauneka tʼáá béésh bąąh dah siʼání nadlééhgo 1980jí iindá beeʼnaʼhoolzhiizh (tsostʼidiʼdi baʼandaʼiisniil, áádóó naadiin tséebii nahai béésh bąąh dah siʼání nilį́į́hgoʼ).",yua,0.22358562052249908,"Where is Annie D. Wauneka, who was born in 1980 when she was born?","Tu&#39;ux yaan Annie D. Wauneka, máax síij tu ja&#39;abil 1980 ka síij?"
Áádóó éí beeʼhanáʼ halzhiizh (nahazbąąs naʼhalingo).,is,0.9239566326141357,Áádóó éí beeʼhanáʼ halzhiizh (nahazbąąs naʼhalingo).,Áádóó éí beeʼhanáʼ halzhizh (nahazbąąs naʼhalingo).
Áádóó éí bikʼiizgi hadzígai.,is,1,Áádóó éí bikʼiizgi hadzígai.,Áádóó éí bikʼiizgi hadzígai.
"Áádóó éí biyaadi éí Core Nahua wolyéego ałtsá naanásdzo, áádóó iindaʼ Nahuatl aadi yiisdzo.",yua,0.2805960476398468,"Where Core Nahua is spoken in the past, where Nahuatl is taught.","Tu&#39;ux ku t&#39;a&#39;anal Core Nahua úuchjeakile&#39;, tu&#39;ux ku ka&#39;ansa&#39;al Nahuatl."
